,data,epsp,config/sec,config/weight,config/saveFolder,config/simLabel
0,"epsp      0.503883
sec         apic_0
loc            0.5
weight      0.0005
dtype: object",0.5038828474469731,apic_0,0.0005,./grid_batch,grid_search_00000
1,"epsp      0.477391
sec         apic_1
loc            0.5
weight      0.0005
dtype: object",0.47739052877388105,apic_1,0.0005,./grid_batch,grid_search_00001
2,"epsp      0.360632
sec        apic_10
loc            0.5
weight      0.0005
dtype: object",0.360631968484014,apic_10,0.0005,./grid_batch,grid_search_00002
3,"epsp      0.045064
sec       apic_100
loc            0.5
weight      0.0005
dtype: object",0.045063679462359,apic_100,0.0005,./grid_batch,grid_search_00003
4,"epsp       0.03657
sec       apic_101
loc            0.5
weight      0.0005
dtype: object",0.036570184157412006,apic_101,0.0005,./grid_batch,grid_search_00004
5,"epsp       0.03657
sec       apic_102
loc            0.5
weight      0.0005
dtype: object",0.036570172591069004,apic_102,0.0005,./grid_batch,grid_search_00005
6,"epsp      0.059851
sec       apic_103
loc            0.5
weight      0.0005
dtype: object",0.05985071990819701,apic_103,0.0005,./grid_batch,grid_search_00006
7,"epsp      0.063393
sec       apic_104
loc            0.5
weight      0.0005
dtype: object",0.06339346317091,apic_104,0.0005,./grid_batch,grid_search_00007
8,"epsp       0.06186
sec       apic_105
loc            0.5
weight      0.0005
dtype: object",0.061859593761866005,apic_105,0.0005,./grid_batch,grid_search_00008
9,"epsp      0.056438
sec       apic_106
loc            0.5
weight      0.0005
dtype: object",0.056437987106718004,apic_106,0.0005,./grid_batch,grid_search_00009
10,"epsp      0.041252
sec       apic_107
loc            0.5
weight      0.0005
dtype: object",0.041251609246245005,apic_107,0.0005,./grid_batch,grid_search_00010
11,"epsp       0.02619
sec       apic_108
loc            0.5
weight      0.0005
dtype: object",0.026190157275834004,apic_108,0.0005,./grid_batch,grid_search_00011
12,"epsp      0.023153
sec       apic_109
loc            0.5
weight      0.0005
dtype: object",0.023153481953940003,apic_109,0.0005,./grid_batch,grid_search_00012
13,"epsp      0.360928
sec        apic_11
loc            0.5
weight      0.0005
dtype: object",0.36092781180404604,apic_11,0.0005,./grid_batch,grid_search_00013
14,"epsp      0.023153
sec       apic_110
loc            0.5
weight      0.0005
dtype: object",0.023153493647043003,apic_110,0.0005,./grid_batch,grid_search_00014
15,"epsp       0.02635
sec       apic_111
loc            0.5
weight      0.0005
dtype: object",0.026349630427063002,apic_111,0.0005,./grid_batch,grid_search_00015
16,"epsp      0.060239
sec       apic_112
loc            0.5
weight      0.0005
dtype: object",0.060238751019369007,apic_112,0.0005,./grid_batch,grid_search_00016
17,"epsp      0.378026
sec       apic_113
loc            0.5
weight      0.0005
dtype: object",0.378025676996429,apic_113,0.0005,./grid_batch,grid_search_00017
18,"epsp      0.475017
sec       apic_114
loc            0.5
weight      0.0005
dtype: object",0.475016564943871,apic_114,0.0005,./grid_batch,grid_search_00018
19,"epsp      0.461173
sec       apic_115
loc            0.5
weight      0.0005
dtype: object",0.461173042842872,apic_115,0.0005,./grid_batch,grid_search_00019
20,"epsp      0.458716
sec       apic_116
loc            0.5
weight      0.0005
dtype: object",0.45871567728150303,apic_116,0.0005,./grid_batch,grid_search_00020
21,"epsp      0.452606
sec       apic_117
loc            0.5
weight      0.0005
dtype: object",0.452605725140699,apic_117,0.0005,./grid_batch,grid_search_00021
22,"epsp      0.411268
sec       apic_118
loc            0.5
weight      0.0005
dtype: object",0.411268194339996,apic_118,0.0005,./grid_batch,grid_search_00022
23,"epsp      0.406343
sec       apic_119
loc            0.5
weight      0.0005
dtype: object",0.40634305583857605,apic_119,0.0005,./grid_batch,grid_search_00023
24,"epsp      0.392984
sec        apic_12
loc            0.5
weight      0.0005
dtype: object",0.39298404348875204,apic_12,0.0005,./grid_batch,grid_search_00024
25,"epsp      0.425496
sec       apic_120
loc            0.5
weight      0.0005
dtype: object",0.425495617365484,apic_120,0.0005,./grid_batch,grid_search_00025
26,"epsp      0.431546
sec       apic_121
loc            0.5
weight      0.0005
dtype: object",0.43154634573114903,apic_121,0.0005,./grid_batch,grid_search_00026
27,"epsp      0.447399
sec       apic_122
loc            0.5
weight      0.0005
dtype: object",0.44739925652218904,apic_122,0.0005,./grid_batch,grid_search_00027
28,"epsp      0.368432
sec        apic_13
loc            0.5
weight      0.0005
dtype: object",0.36843202026604105,apic_13,0.0005,./grid_batch,grid_search_00028
29,"epsp      0.377848
sec        apic_14
loc            0.5
weight      0.0005
dtype: object",0.37784829355611205,apic_14,0.0005,./grid_batch,grid_search_00029
30,"epsp      0.357547
sec        apic_15
loc            0.5
weight      0.0005
dtype: object",0.35754704264172604,apic_15,0.0005,./grid_batch,grid_search_00030
31,"epsp      0.368704
sec        apic_16
loc            0.5
weight      0.0005
dtype: object",0.368704385526939,apic_16,0.0005,./grid_batch,grid_search_00031
32,"epsp      0.408604
sec        apic_17
loc            0.5
weight      0.0005
dtype: object",0.408603612374321,apic_17,0.0005,./grid_batch,grid_search_00032
